io_timestamp, io_value, io_private
1397102460000, 11.4403, f
1397139660000, 13.1913, f
1397177400000, 12.8485, f
1397228040000, 10.975, f
1397248260000, 12.9377, f
1397291280000, 13.3795, f
1397318100000, 13.0869, f
1397342100000, 17.3758, f
1397390820000, 11.6992, f
1397408100000, 11.3871, f
1397458800000, 10.8767, f
1397522940000, 16.4446, f
1397542800000, 12.2771, f
1397640960000, 13.0709, f
1397700000000, 12.6198, f
1397753040000, 11.0486, f
1397772540000, 14.6892, f
1397794860000, 14.3738, f
1397813580000, 10.4259, f
1397890680000, 13.4261, f
1397932020000, 13.0062, f
1397973480000, 14.475, f
1398035760000, 15.9555, f
1398075840000, 14.535, f
1398102960000, 12.3671, f
1398126240000, 12.4245, f
1398195060000, 12.0836, f
1398219120000, 15.3137, f
1398239220000, 13.7978, f
1398260040000, 11.915, f
1398301740000, 13.2239, f
1398331800000, 11.6536, f
1398369780000, 13.4677, f
1398395820000, 14.2905, f
1398430020000, 15.4895, f
1398486120000, 10.9778, f
1398487260000, 10.9778, f
1398507060000, 15.0667, f
1398529500000, 12.9649, f
1398600420000, 12.1467, f
1398638520000, 15.0664, f
1398691860000, 13.504, f
1398714240000, 13.7263, f
1398807540000, 14.57, f
1398858180000, 13.9641, f
1398879420000, 12.5418, f
1398920880000, 14.8822, f
1398956340000, 15.2676, f
1399033260000, 13.2575, f
1399048020000, 12.9691, f
1399072260000, 11.421, f
1399093380000, 14.0138, f
1399136640000, 14.8499, f
1399239000000, 7.6531, f
1399259880000, 14.9073, f
1399291260000, 14.2004, f
1399347480000, 12.9475, f
1399399200000, 12.8099, f
1399427880000, 13.5355, f
1399557300000, 21.5806, f
1399574100000, 14.6782, f
1399659240000, 14.1288, f
1399714920000, 12.4166, f
1399741620000, 15.1968, f
1399761480000, 12.2607, f
1399811700000, 15.6383, f
1399851360000, 11.9271, f
1399919280000, 16.6918, f
1399975020000, 15.8313, f
1400007660000, 16.6683, f
1400055420000, 12.6553, f
1400071680000, 17.5611, f
1400090940000, 12.413, f
1400155860000, 17.4083, f
1400168100000, 14.0381, f
1400220300000, 15.6225, f
1400245860000, 11.4259, f
1400260020000, 13.4966, f
1400308380000, 18.7775, f
1400347560000, 10.2297, f
1400367960000, 11.672, f
1400399640000, 14.9614, f
1400469720000, 15.6506, f
1400495700000, 13.1019, f
1400538120000, 15.2333, f
1400560800000, 14.1674, f
1400584020000, 15.9061, f
1400611800000, 15.5365, f
1400640360000, 14.9829, f
1400655180000, 16.0605, f
1400682720000, 16.4902, f
1400693880000, 12.2666, f
1400753700000, 13.8106, f
1400775840000, 13.316, f
1400848800000, 13.7264, f
1400877360000, 14.2985, f
1400913720000, 13.2192, f
1400946900000, 15.7537, f
1400981820000, 15.693, f
1401019020000, 14.3723, f
1401031860000, 14.3661, f
1401049560000, 14.8975, f
1401075000000, 15.9807, f
1401101400000, 14.924, f
1401139500000, 10.1337, f
1401200940000, 15.1105, f
1401222240000, 12.0448, f
1401265740000, 13.1361, f
1401292620000, 12.5809, f
1401331080000, 13.354, f
1401377160000, 10.8519, f
1401391020000, 12.4395, f
1401413100000, 12.7404, f
1401425460000, 14.251, f
1401445020000, 12.8002, f
1401528660000, 14.9367, f
1401549240000, 12.6774, f
1401581040000, 12.7115, f
1401612000000, 13.6674, f
1401657960000, 11.6917, f
1401706320000, 13.0883, f
1401715860000, 13.7446, f
1401777360000, 17.2068, f
1401817740000, 13.0479, f
1401851100000, 14.1147, f
1401877740000, 31.7686, f
1401925440000, 13.5664, f
1401948000000, 21.3716, f
1402005840000, 14.2531, f
1402050660000, 12.9813, f
1402079100000, 13.8101, f
1402119840000, 11.6954, f
1402145040000, 15.8462, f
1402168560000, 14.663, f
1402216320000, 13.1354, f
1402285020000, 15.2099, f
1402315260000, 13.8301, f
1402327560000, 15.4636, f
1402465260000, 15.2273, f
1402474980000, 11.116, f
1402527840000, 13.6848, f
1402539360000, 10.9594, f
1402556700000, 13.6684, f
1402588920000, 14.6916, f
1402606440000, 14.0991, f
1402640940000, 12.2268, f
1402684320000, 13.8274, f
1402732200000, 14.4415, f
1402796280000, 14.1246, f
1402822020000, 14.7101, f
1402834320000, 12.4821, f
1402860300000, 14.5288, f
1402881240000, 13.7443, f
1402941420000, 12.6555, f
